date,site,temp_water,temp_air,length,mouth,load,jawtop,jawbottom,tooth,pcr1,pcr2
12/9/2019,brindle,10.6,9.6,16,,1073.333333,,,,3.34,9.83
12/9/2019,brindle,10.6,9.6,13,,1978.2,,,,18.77,11.81
12/9/2019,brindle,10.6,9.6,17,673,1439.666667,5,4,5,2.25,14.3
12/9/2019,brindle,10.6,9.6,14,537,599.2,5,5,4,,4.28
12/9/2019,brindle,10.6,9.6,19,639,0,5,4,4,,
12/9/2019,brindle,10.6,9.6,14,574,374.7333333,5,5,5,6.91,0.56
12/9/2019,brindle,10.6,9.6,14,524,338.8,5,5,4,6.04,0.61
12/9/2019,brindle,10.6,9.6,19,664,32453.86667,5,5,5,651.36,22.04
12/9/2019,brindle,10.6,9.6,15,550,201.6,5,4,4,,1.44
12/9/2019,brindle,10.6,9.6,17,654,820.8666667,5,5,5,15.71,0.94
12/9/2019,brindle,10.6,9.6,14,507,966.4666667,5,4,5,17.07,1.82
12/9/2019,brindle,10.6,9.6,16,530,821.8,5,5,4,5.87,
12/9/2019,brindle,10.6,9.6,18,674,0,5,5,4,,
12/9/2019,brindle,10.6,9.6,19,664,2678.2,5,4,4,44.87,6.26
12/9/2019,brindle,10.6,9.6,11,407,1166.666667,5,5,5,13.52,5.74
12/9/2019,brindle,10.6,9.6,14,569,5469.8,5,5,5,58.77,29.22
12/9/2019,brindle,10.6,9.6,15,493,24990.93333,5,5,5,325.82,104.85
12/9/2019,brindle,10.6,9.6,15,539,843.2666667,5,5,5,9.91,4.08
12/9/2019,brindle,10.6,9.6,10,398,1229.2,5,5,5,8.78,
12/9/2019,brindle,10.6,9.6,14,615,546.4666667,5,5,4,10.47,0.62
12/9/2019,brindle,10.6,9.6,15,628,55848.33333,5,5,5,71.75,562.5
12/9/2019,brindle,10.6,9.6,16,627,9710.866667,5,5,5,53.43,77.33
12/9/2019,brindle,10.6,9.6,14,496,5759.133333,5,4,5,97.79,12.81
12/9/2019,brindle,10.6,9.6,14,469,5891.2,5,5,4,63.04,31.6
12/9/2019,brindle,10.6,9.6,13,554,2233.466667,5,5,5,24.4,11.73
12/9/2019,brindle,10.6,9.6,10,361,3825.266667,5,5,5,43.17,19.4
12/9/2019,brindle,10.6,9.6,12,530,117592.0667,1,2,4,2305.81,107.01
12/9/2019,brindle,10.6,9.6,15,561,8242.733333,5,5,5,77.43,49.6
23/10/2019,brindle,13.4,13.3,18,741,25733.4,5,4,3,294.8,72.82
23/10/2019,brindle,13.4,13.3,14,567,21884.8,5,4,4,187.99,124.65
23/10/2019,brindle,13.4,13.3,7,364,0,0,1,0,,
23/10/2019,brindle,13.4,13.3,8,409,0,0,0,0,,
23/10/2019,brindle,13.4,13.3,8,393,0,0,0,0,,
23/10/2019,brindle,13.4,13.3,8,310,0,0,0,0,,
23/10/2019,brindle,13.4,13.3,7,354,0,0,0,0,,
23/10/2019,brindle,13.4,13.3,13,577,24743.6,5,4,3,276.17,77.31
23/10/2019,brindle,13.4,13.3,7,359,0,0,0,0,,
23/10/2019,brindle,13.4,13.3,7,340,0,0,0,0,,
23/10/2019,brindle,13.4,13.3,7,321,0,0,0,0,,
23/10/2019,brindle,13.4,13.3,8,359,0,0,0,0,,
23/10/2019,brindle,13.4,13.3,8,395,0,0,0,0,,
23/10/2019,brindle,13.4,13.3,8,429,0,0,0,0,,
23/10/2019,brindle,13.4,13.3,8,403,0,0,0,0,,
23/10/2019,brindle,13.4,13.3,7,423,0,0,0,0,,
23/10/2019,brindle,13.4,13.3,8,435,0,0,0,0,,
23/10/2019,brindle,13.4,13.3,7,387,0,0,0,0,,
23/10/2019,brindle,13.4,13.3,7,380,231,0,0,0,1.65,
23/10/2019,brindle,13.4,13.3,8,429,0,0,0,0,,
23/10/2019,brindle,13.4,13.3,7,425,0,0,0,0,,
23/10/2019,brindle,13.4,13.3,7,420,0,0,0,0,,
23/10/2019,brindle,13.4,13.3,7,319,0,0,0,0,,
23/10/2019,brindle,13.4,13.3,6,328,0,0,0,0,,
23/10/2019,brindle,13.4,13.3,9,519,282.8,0,0,0,,2.02
23/10/2019,brindle,13.4,13.3,7,350,0,0,0,0,,
23/10/2019,brindle,13.4,13.3,7,353,0,0,0,0,,
23/10/2019,brindle,13.4,13.3,6,315,0,0,0,0,,
23/10/2019,brindle,13.4,13.3,7,391,0,0,0,0,,
23/10/2019,brindle,13.4,13.3,7,408,0,0,0,0,,
23/10/2019,brindle,13.4,13.3,20,768,23146.9,4,4,2,223.37,107.3
23/10/2019,brindle,13.4,13.3,20,711,1585.5,4,4,3,15.26,7.39
23/10/2019,brindle,13.4,13.3,20,734,1103.2,4,3,4,6.45,9.31
23/10/2019,brindle,13.4,13.3,20,812,36463,5,4,4,311.42,209.48
23/10/2019,brindle,13.4,13.3,20,714,5710.6,4,3,2,53.06,28.52
23/10/2019,brindle,13.4,13.3,19,716,7336.7,4,4,2,74.92,29.89
23/10/2019,brindle,13.4,13.3,20,820,77460.6,4,4,2,728.85,377.73
23/10/2019,brindle,13.4,13.3,18,716,6937,5,4,2,61.7,37.4
23/10/2019,brindle,13.4,13.3,15,680,27675.2,4,3,2,222.85,172.51
23/10/2019,brindle,13.4,13.3,17,684,209017.9,4,3,2,2353.29,632.68
23/10/2019,brindle,13.4,13.3,19,757,13232.1,3,1,0,111.11,77.92
9/12/2019,brindle,16.6,17.5,17,699,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,9,447,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,7,298,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,11,496,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,11,565,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,14,624,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,12,526,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,11,460,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,11,481,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,12,545,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,12,482,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,11,439,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,13,574,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,12,470,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,12,565,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,14,658,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,14,584,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,12,552,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,14,588,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,13,624,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,12,560,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,15,600,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,14,652,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,11,526,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,14,592,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,13,576,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,13,591,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,13,507,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,15,584,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,10,476,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,11,505,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,12,496,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,13,507,39083.33333,1,1,2,180.06,328.72
9/12/2019,brindle,16.6,17.5,11,503,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,13,513,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,15,586,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,15,569,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,11,518,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,12,563,0,0,0,0,,
9/12/2019,brindle,16.6,17.5,16,602,0,0,0,0,,
21/1/2020,brindle,18.7,19.6,20,657,0,0,0,0,,
21/1/2020,brindle,18.7,19.6,9,392,0,0,0,0,,
21/1/2020,brindle,18.7,19.6,19,651,0,0,0,0,,
21/1/2020,brindle,18.7,19.6,9,487,0,0,0,0,,
21/1/2020,brindle,18.7,19.6,14,538,0,0,0,0,,
21/1/2020,brindle,18.7,19.6,15,623,0,0,0,0,,
21/1/2020,brindle,18.7,19.6,7,386,0,0,0,0,,
21/1/2020,brindle,18.7,19.6,14,587,0,0,0,0,,
21/1/2020,brindle,18.7,19.6,11,589,0,0,0,0,,
21/1/2020,brindle,18.7,19.6,15,497,0,0,0,0,,
21/1/2020,brindle,18.7,19.6,14,575,31075.8,0,0,0,221.97,233.74
21/1/2020,brindle,18.7,19.6,18,680,0,0,0,0,,
21/1/2020,brindle,18.7,19.6,16,639,317926,4,3,0,2270.9,637.31
21/1/2020,brindle,18.7,19.6,14,637,0,0,0,0,,
21/1/2020,brindle,18.7,19.6,14,482,614.6,0,0,0,4.39,5.12
21/1/2020,brindle,18.7,19.6,15,670,0,0,0,0,,
21/1/2020,brindle,18.7,19.6,7,330,0,3,3,0,,
21/1/2020,brindle,18.7,19.6,8,366,0,0,1,0,,
21/1/2020,brindle,18.7,19.6,11,553,107.8,0,0,0,0.77,
21/1/2020,brindle,18.7,19.6,9,439,0,0,0,0,,
21/1/2020,brindle,18.7,19.6,19,641,0,0,1,1,,
21/1/2020,brindle,18.7,19.6,18,631,0,0,0,0,,
21/1/2020,brindle,18.7,19.6,19,616,4541.6,0,0,0,32.44,29.79
21/1/2020,brindle,18.7,19.6,18,665,72296,0,0,0,516.4,209.33
21/1/2020,brindle,18.7,19.6,12,506,0,0,0,0,,
21/1/2020,brindle,18.7,19.6,15,574,0,0,0,0,,
21/1/2020,brindle,18.7,19.6,10,484,0,0,0,0,,
21/1/2020,brindle,18.7,19.6,14,575,662.2,0,0,0,4.73,
21/1/2020,brindle,18.7,19.6,10,599,0,0,0,0,,1.07
21/1/2020,brindle,18.7,19.6,16,573,0,0,0,0,,
21/1/2020,brindle,18.7,19.6,17,677,0,0,0,0,,
21/1/2020,brindle,18.7,19.6,15,,0,0,0,0,,
21/1/2020,brindle,18.7,19.6,12,611,0,3,3,0,,
21/1/2020,brindle,18.7,19.6,13,581,202172.6,3,2,0,1444.09,565.96
21/1/2020,brindle,18.7,19.6,9,478,0,0,0,0,,
21/1/2020,brindle,18.7,19.6,15,669,0,0,0,0,,
21/1/2020,brindle,18.7,19.6,10,480,0,0,0,0,,
21/1/2020,brindle,18.7,19.6,9,485,0,0,0,0,,
21/1/2020,brindle,18.7,19.6,15,676,0,0,0,0,,
21/1/2020,brindle,18.7,19.6,12,515,0,0,0,0,,
27/2/2020,brindle,19.1,19.8,8,442,0,0,0,0,,
27/2/2020,brindle,19.1,19.8,14,568,0,5,5,5,,
27/2/2020,brindle,19.1,19.8,13,532,845.6,0,0,0,9.87,2.21
27/2/2020,brindle,19.1,19.8,13,498,12968.2,1,2,2,79.26,106
27/2/2020,brindle,19.1,19.8,7,307,0,0,1,0,,
27/2/2020,brindle,19.1,19.8,13,525,0,0,0,0,,
27/2/2020,brindle,19.1,19.8,9,394,0,0,0,0,,
27/2/2020,brindle,19.1,19.8,8,353,0,0,0,0,,
27/2/2020,brindle,19.1,19.8,8,414,0,0,0,0,,
27/2/2020,brindle,19.1,19.8,20,600,1502.2,4,5,4,6.62,14.84
27/2/2020,brindle,19.1,19.8,18,,4480.7,,,,11.8,52.21
27/2/2020,brindle,19.1,19.8,16,732,21572.6,1,2,4,115.28,192.9
27/2/2020,brindle,19.1,19.8,15,563,0,0,0,0,,
27/2/2020,brindle,19.1,19.8,17,674,41381.9,4,3,2,194.07,397.1
27/2/2020,brindle,19.1,19.8,16,648,34360.9,0,1,2,300.68,190.19
27/2/2020,brindle,19.1,19.8,9,527,0,0,0,0,,
27/2/2020,brindle,19.1,19.8,15,604,0,0,0,0,,
27/2/2020,brindle,19.1,19.8,18,715,17265.5,0,2,2,115.16,131.49
27/2/2020,brindle,19.1,19.8,13,573,0,0,0,0,,
27/2/2020,brindle,19.1,19.8,14,647,0,0,0,0,,
27/2/2020,brindle,19.1,19.8,8,389,0,0,0,0,,
27/2/2020,brindle,19.1,19.8,11,474,0,0,0,0,,
27/2/2020,brindle,19.1,19.8,11,531,154438.9,0,1,1,987.37,1218.9
27/2/2020,brindle,19.1,19.8,7,356,0,0,0,0,,
27/2/2020,brindle,19.1,19.8,10,427,0,0,0,0,,
27/2/2020,brindle,19.1,19.8,12,577,0,0,0,0,,
27/2/2020,brindle,19.1,19.8,8,424,0,0,0,0,,
27/2/2020,brindle,19.1,19.8,8,424,0,0,0,0,,
