length,site,date
18.91,tuntable,27/10/2019
10.61,tuntable,27/10/2019
10.54,tuntable,27/10/2019
10.09,tuntable,27/10/2019
9.19,tuntable,27/10/2019
9.19,tuntable,27/10/2019
9.86,tuntable,27/10/2019
9.27,tuntable,27/10/2019
8.52,tuntable,27/10/2019
10.69,tuntable,27/10/2019
20.4,tuntable,27/10/2019
9.79,tuntable,27/10/2019
13.38,tuntable,27/10/2019
9.04,tuntable,27/10/2019
9.34,tuntable,27/10/2019
9.34,tuntable,27/10/2019
10.16,tuntable,27/10/2019
10.31,tuntable,27/10/2019
9.71,tuntable,27/10/2019
10.01,tuntable,27/10/2019
9.64,tuntable,27/10/2019
10.54,tuntable,27/10/2019
11.73,tuntable,27/10/2019
8.74,tuntable,27/10/2019
15.24,tuntable,27/10/2019
20.77,tuntable,27/10/2019
8.37,tuntable,27/10/2019
8.97,tuntable,27/10/2019
9.57,tuntable,27/10/2019
9.79,tuntable,27/10/2019
12.03,tuntable,27/10/2019
10.39,tuntable,27/10/2019
9.94,tuntable,27/10/2019
9.71,tuntable,27/10/2019
8.97,tuntable,27/10/2019
10.61,tuntable,27/10/2019
10.01,tuntable,27/10/2019
10.76,tuntable,27/10/2019
14.35,tuntable,27/10/2019
10.54,tuntable,27/10/2019
13.9,tuntable,27/10/2019
11.4,brindle,9/12/2019
11.87,brindle,9/12/2019
10.67,brindle,9/12/2019
9.87,brindle,9/12/2019
14.8,brindle,9/12/2019
14.34,brindle,9/12/2019
11.94,brindle,9/12/2019
12.14,brindle,9/12/2019
12.47,brindle,9/12/2019
11.94,brindle,9/12/2019
12,brindle,9/12/2019
10.94,brindle,9/12/2019
13.27,brindle,9/12/2019
12.14,brindle,9/12/2019
10.47,brindle,9/12/2019
14.2,brindle,9/12/2019
10,brindle,9/12/2019
10.94,brindle,9/12/2019
13.74,brindle,9/12/2019
11.8,brindle,9/12/2019
11.2,brindle,9/12/2019
10.87,brindle,9/12/2019
12.74,brindle,9/12/2019
12.2,brindle,9/12/2019
12.27,brindle,9/12/2019
11.67,brindle,9/12/2019
12.87,brindle,9/12/2019
12.2,brindle,9/12/2019
10.6,brindle,9/12/2019
14.2,brindle,9/12/2019
12.27,brindle,9/12/2019
11.54,brindle,9/12/2019
12.67,brindle,9/12/2019
11.4,brindle,9/12/2019
13.67,brindle,9/12/2019
12.47,brindle,9/12/2019
14.67,brindle,9/12/2019
11.2,brindle,9/12/2019
11.6,brindle,9/12/2019
11.74,brindle,9/12/2019
13.2,brindle,9/12/2019
10.6,brindle,9/12/2019
11.34,brindle,9/12/2019
11.67,brindle,9/12/2019
15.54,brindle,9/12/2019
12.34,brindle,9/12/2019
11,brindle,9/12/2019
11.67,brindle,9/12/2019
11.94,brindle,9/12/2019
12.8,brindle,9/12/2019
13.67,brindle,9/12/2019
12.4,brindle,9/12/2019
10.94,brindle,9/12/2019
15.34,brindle,9/12/2019
11.14,brindle,9/12/2019
10.4,brindle,9/12/2019
14.34,brindle,9/12/2019
12,brindle,9/12/2019
14.14,brindle,9/12/2019
10.6,brindle,9/12/2019
12.14,brindle,9/12/2019
11.27,brindle,9/12/2019
12.4,brindle,9/12/2019
13.94,brindle,9/12/2019
11.6,brindle,9/12/2019
13.67,brindle,9/12/2019
12.27,brindle,9/12/2019
11.14,brindle,9/12/2019
11,brindle,9/12/2019
12.27,brindle,9/12/2019
12.67,brindle,9/12/2019
11,brindle,9/12/2019
11.67,brindle,9/12/2019
10.54,brindle,9/12/2019
10.54,brindle,9/12/2019
11.94,brindle,9/12/2019
12.74,brindle,9/12/2019
13.6,brindle,9/12/2019
12.8,brindle,9/12/2019
12.6,brindle,9/12/2019
12.27,brindle,9/12/2019
17.67,brindle,9/12/2019
11.07,brindle,9/12/2019
12.4,brindle,9/12/2019
11.07,brindle,9/12/2019
12.87,brindle,9/12/2019
11.14,brindle,9/12/2019
10.67,brindle,9/12/2019
12.47,brindle,9/12/2019
11.54,brindle,9/12/2019
11.34,brindle,9/12/2019
12,brindle,9/12/2019
10.27,brindle,9/12/2019
11.47,brindle,9/12/2019
12.27,brindle,9/12/2019
11.47,brindle,9/12/2019
3.33,brindle,9/12/2019
11.6,brindle,9/12/2019
12.87,brindle,9/12/2019
11.67,brindle,9/12/2019
13,brindle,9/12/2019
11.14,brindle,9/12/2019
13.34,brindle,9/12/2019
11.6,brindle,9/12/2019
11.34,brindle,9/12/2019
12.47,brindle,9/12/2019
11.67,brindle,9/12/2019
11.27,brindle,9/12/2019
13.07,brindle,9/12/2019
12.54,brindle,9/12/2019
10.14,brindle,9/12/2019
13.67,brindle,9/12/2019
12.27,brindle,9/12/2019
11.4,brindle,9/12/2019
10.2,brindle,9/12/2019
10.87,brindle,9/12/2019
12.94,brindle,9/12/2019
12,brindle,9/12/2019
13.94,brindle,9/12/2019
12.4,brindle,9/12/2019
15.14,brindle,9/12/2019
11.94,brindle,9/12/2019
14.4,brindle,9/12/2019
12.07,brindle,9/12/2019
